packet_id,packet_name,jurisdiction,theme,core_or_adjacent,layer,source_role,source_type,title_or_label,publisher_org,url,pub_date,language,collection_status,retrieval_method,why_selected,notes
US-01,U.S. AI Registration Guidance,US,"generative AI copyright; authorship; registration",core,official,anchor,official_guidance,"Copyright Registration Guidance: Works Containing Material Generated by Artificial Intelligence",U.S. Copyright Office,https://copyright.gov/ai/ai_policy_guidance.pdf,2023-03-16,en,collected,manual_url,"Foundational U.S. anchor for disclosure, human contribution, and registration treatment of AI-generated material.","May also use corresponding NewsNet page and webinar as supporting references."
US-01,U.S. AI Registration Guidance,US,"generative AI copyright; authorship; registration",core,news,news_1,official_news_release,"Copyright Office Launches New Artificial Intelligence Initiative",U.S. Copyright Office NewsNet,https://www.copyright.gov/newsnet/2023/1004.html,,en,collected,manual_url,"Official launch framing that contextualizes the registration guidance and wider AI initiative.","Useful contextual news layer tied to the guidance rollout."
US-01,U.S. AI Registration Guidance,US,"generative AI copyright; authorship; registration",core,news,news_2,official_news_release,"Copyright Office Announces Online Webinar on Application Process for Registration of Works with Artificial Intelligence-Generated Content",U.S. Copyright Office NewsNet,https://www.copyright.gov/newsnet/2023/1007.html,,en,collected,manual_url,"Official explainer pointing directly to registration workflow and public clarification.","Official webinar announcement about the AI registration application process."
US-01,U.S. AI Registration Guidance,US,"generative AI copyright; authorship; registration",core,news,news_3,news_article,"US Copyright Office wants to hear what people think about AI and copyright",The Verge,https://www.theverge.com/2023/8/29/23851126/us-copyright-office-ai-public-comments,2023-08-29,en,collected,manual_url,"Third-party tech media coverage of the Copyright Office AI public comment period.","Third-party tech media coverage of the broader Copyright Office AI initiative."
US-02,Thaler Human Authorship Decision,US,"generative AI copyright; human authorship; judicial doctrine",core,official,anchor,judicial_opinion,"Thaler v. Perlmutter, D.C. Circuit opinion",U.S. Court of Appeals for the D.C. Circuit,https://media.cadc.uscourts.gov/opinions/docs/2025/03/23-5233.pdf?preview=true&site_id=1864,2025-03-18,en,collected,manual_url,"D.C. Circuit opinion establishing the human authorship requirement for autonomously generated AI works.","D.C. Circuit opinion on AI authorship requirement."
US-02,Thaler Human Authorship Decision,US,"generative AI copyright; human authorship; judicial doctrine",core,news,news_1,law_firm_analysis,"Supreme Court Denies Certiorari in Thaler v. Perlmutter: AI Cannot Be an Author Under the Copyright Act",Baker Donelson,https://www.bakerdonelson.com/supreme-court-denies-certiorari-in-thaler-v-perlmutter-ai-cannot-be-an-author-under-the-copyright-act,2026-03-05,en,collected,manual_url,"Law firm analysis of the Thaler case from Copyright Office denial through Supreme Court cert denial.","Law firm analysis of the full Thaler v. Perlmutter litigation arc."
US-02,Thaler Human Authorship Decision,US,"generative AI copyright; human authorship; judicial doctrine",core,news,news_2,news_article,"US Supreme Court declines to hear dispute over copyrights for AI-generated material",Reuters,https://www.reuters.com/legal/government/us-supreme-court-declines-hear-dispute-over-copyrights-ai-generated-material-2026-03-02/,2026-03-02,en,collected,manual_url,"Wire service report on the Supreme Court cert denial in the Thaler case.","Wire service report on the Supreme Court cert denial."
US-02,Thaler Human Authorship Decision,US,"generative AI copyright; human authorship; judicial doctrine",core,news,news_3,news_article,"AI-generated art can't be copyrighted after Supreme Court declines to review the rule",The Verge,https://www.theverge.com/policy/887678/supreme-court-ai-art-copyright,,en,collected,manual_url,"Tech-policy framing of the same human-authorship dispute.","Useful for media framing contrast."
US-02,Thaler Human Authorship Decision,US,"generative AI copyright; human authorship; judicial doctrine",core,social,social_1,social_post,"John Linnell Bluesky post on human-authorship rule",Bluesky,https://bsky.app/profile/linnell.bsky.social/post/3mayiae44bc2n,,en,candidate,manual_url,"Short social restatement of the human-authorship holding.","Bluesky post on the human-authorship holding and its implications."
US-02,Thaler Human Authorship Decision,US,"generative AI copyright; human authorship; judicial doctrine",core,social,social_2,social_post,"Timothy A. Wiseman Bluesky comment on meaningful human authorship",Bluesky,https://bsky.app/profile/timwiseman.bsky.social/post/3l646gq3qga2k,,en,collected,manual_url,"Professional/legal social commentary on the decision's implication.","Useful for law-facing social layer."
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,official,anchor,official_report,"Copyright and Artificial Intelligence, Part 2: Copyrightability",U.S. Copyright Office,https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-2-Copyrightability-Report.pdf,2025-01-29,en,collected,manual_url,"High-salience institutional synthesis on what counts as sufficient human expressive control in AI-assisted creation.","Copyright Office Part 2 report on AI copyrightability."
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,news,news_1,official_news_release,"Copyright Office Releases Part 2 of Artificial Intelligence Report",U.S. Copyright Office NewsNet,https://www.copyright.gov/newsnet/2025/1060.html,,en,collected,manual_url,"Direct official news layer for the Part 2 report.","Useful for linking the report to a shorter public-facing summary."
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,news,news_2,news_article,"AI-assisted works can get copyright with enough human creativity, says US copyright office",AP News,https://apnews.com/article/363f1c537eb86b624bf5e81bed70d459,,en,collected,manual_url,"High-salience general news coverage of the Part 2 report.","AP News coverage of the Part 2 copyrightability report."
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,news,news_3,news_article,"Purely AI-generated art can't get copyright protection, says Copyright Office",The Verge,https://www.theverge.com/news/602096/copyright-office-says-ai-prompting-doesnt-deserve-copyright-protection,,en,collected,manual_url,"Tech-policy news coverage with strong public-discourse spillover.","Useful for the media framing layer."
